ID,ProjectNumber,Project,Output Code,Month,Year,Value,Stat,Impact Indicator Old,Impact Indicator New,Unit,Valid,Original?,Notes/More detail required?,Project2,Historic/Logframe,Source,Verification
592,61,Aeolians,,,2021,1,seagrass ‘summer schools’ for university students refining their scientific dive skills,NA,5.5.3,Number of packages/‌initiatives,1,0,,,Historic,19,
600,30,Lyme Bay,,,2022,60,60 sites surveyed,NA,Progress,-,1,,Consider removing - no longer count sites surveyes,,Historic,1,
601,30,Lyme Bay,,,2016,NA,"As a combined result of the ban on mobile gear and the collaborative approach introduced by Blue, there has been a four-fold increase in flora and fauna reef species since 2008, a doubling of scallop landings, a quadrupling of juvenile lobsters (observed and put back), a two-anda-half times increase in landing of brown crabs and a quadrupling of lemon sole catches.",NA,Progress,-,,1,,,Historic,10,
602,30,Lyme Bay,,,2022,2499,2499: Twitter following,NA,Digital views,Digital views,0,1,,,Historic,1,
603,30,Lyme Bay,,,2022,1916,1916: Facebook likes,NA,Digital views,Digital views,0,1,,,Historic,1,
604,30,Lyme Bay,,,2022,12679,12679: Website views,NA,Digital views,Digital views,0,1,,,Historic,1,
598,30,Lyme Bay,,,2015,59,"Commercial and recreational fishermen signed up to voluntary codes of conduct regulating fishing activity, scientific research was undertaken to inform best-practice management and a partnership was created with the Seafish Responsible Fishing Scheme (RFS) to build the sustainable, traceable and high quality credentials of our Reserve Seafood labe",NA,5.6.1,Number of stakeholders,1,0,,,Historic,11,
610,30,Lyme Bay,,Feb,2023,3,"7 x more pink sea fans, 4.5x more juvenile lobsters, 7x more scallops",NA,2.2.2,Number of species,1,1,,,Historic,70,
611,30,Lyme Bay,,Feb,2023,84,84% increase in species,NA,2.2.2,Number of species,1,1,,,Historic,70,
612,30,Lyme Bay,,,2021,32,32 boats working together under a voluntary code to fish sustainably,NA,Progress,-,1,1,,,Historic,70,
613,30,Lyme Bay,,,2014,1,Increased resilience to storm events following monitoring in 2014,NA,2.2.1,km2,1,1,,,Historic,70,
615,30,Lyme Bay,,,2013,1,The Working Group was formalised in 2013 as the Lyme Bay Fisheries and Conservation Reserve (LBFCR) Consultative Committee with a Terms of Reference that set out the governance structure and ways of working for the Committee.,NA,5.6.2,Number of coalitions/‌ working groups,1,1,,,Historic,70,
616,30,Lyme Bay,,,?,1,MoU developed to establish working practices in Lyme Bay: https://www.lymebayreserve.co.uk/download-centre/files/Lyme_Bay_Fisheries_and_Conservation_Reserve_MoU.pdf,NA,3.1.2,Number of policy instruments/regulations or similar influenced (please specify),1,1,,,Historic,70,
605,30,Lyme Bay,,,2012,1,"In 2012, BLUE initiated a fully traceable, sustainable fishery in Lyme Bay, Dorset, by forming a collective where fishermen benefit from becoming conservationists",NA,3.2.2,Number of initiatives,1,0,,,Historic,10,
1786,94,Convex,O.4.9,?,2023,0,OceanX not happened yet,Progress,5.6.3,Number of member organisations/‌representatives,1,0,,,Logframe,,
607,30,Lyme Bay,,,,1,a voluntary code was developed with the fishermen to set limits on the number of pots and nets used.,NA,3.2.1,Number of fisheries ,1,0,,,Historic,5,
608,30,Lyme Bay,,,2020,1,Lyme Bay road to recovery film: https://www.youtube.com/watch?v=uaj8j1UUYGA,NA,5.3.2,Tools/‌activities,1,0,,,Historic,56,
609,30,Lyme Bay,,Feb,2023,1,Production of Lyme Bay Case Study - sharing knowledge on MPA Management,NA,1.1.1,"Reports, investigations, published papers or similar",1,0,,,Historic,70,
617,61,Aeolians,,,2020,1,"September 15 to October 20, BLUE delivered Session 1 of the Understanding the Sea marine 
education programme, facilitated by the Kurma Association (led by Dr. Enrico Navarra, marine 
biologist) and the Wildlife Museum of the University of Messina. The 
course involved 18 middle school students and involved 18 hours of classroom lessons and 
eight hours of practical lessons, led by three local small-scale fishermen and two marine 
biologists.",NA,5.5.3,Number of packages/‌initiatives,1,1,,,Historic,67,
618,61,Aeolians,,,2020,18,"September 15 to October 20, BLUE delivered Session 1 of the Understanding the Sea marine education programme, facilitated by the Kurma Association (led by Dr. Enrico Navarra, marine biologist) and the Wildlife Museum of the University of Messina. The course involved 18 middle school students and involved 18 hours of classroom lessons and eight hours of practical lessons, led by three local small-scale fishermen and two marine biologists.",NA,5.5.1,Number of students/general public,1,1,,,Historic,67,
623,30,Lyme Bay,,,2020,1940,"The scheme proved highly successful, with over 1,940 boxes of seafood transported in the second year of the scheme between July 2019 – June 2020.",NA,Ice Boxes,#N/A,,,,,Historic,70,
624,30,Lyme Bay,,Oct,2016,1,Socio-economic study commissioned: https://www.lymebayreserve.co.uk/science/Evaluation-framework.pdf,NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1,,,Historic,70,
614,30,Lyme Bay,,,2021,1,Optimal fishing effort benefits fisheries and conservation: https://www.nature.com/articles/s41598-021-82847-4,NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,,,Historic,70,
1787,94,Convex,O.4.9,?,2023,0,Fugro not happened yet,Progress,5.6.3,Number of member organisations/‌representatives,1,0,,,Logframe,,
626,30,Lyme Bay,,,2022,1,"In 2022, Blue Marine supported the establishment of a new Lyme Bay Fisherman’s Community Interest Company (CIC) that represents fishermen across the Lyme Bay area and engages with regulators and others to promote sustainable fishing. The CIC is overseen by a representative from each of the four ports and has 47 members from across the Lyme Bay fishing community",NA,5.6.2,Number of coalitions/‌ working groups,1,1,,,Historic,70,
630,95,Education,,,2019,3,"In the Maldives, we have established three citizen science programmes that enable young people to develop valuable scientific field skills by surveying coral reefs, seagrass meadows and mangrove forests.",NA,5.5.3,Number of packages/‌initiatives,1,1,,Maldives,Historic,7,
631,30,Lyme Bay,,,,,"To help the fishermen that operated within the Lyme Bay Reserve ensure the best possible quality of their sustainably caught seafood, chiller units, insulated fish boxes and ice machines were installed, funded by Blue Marine and the European Fisheries Fund",NA,Ice Boxes,#N/A,,,,,Historic,79,
619,95,Education,,Jun,2022,6,Six schools took part in snorkel portelet in summer 2022,NA,5.5.2,Number of schools,1,0,,Jersey,Historic,78,
620,30,Lyme Bay,,,2015,?,"Blue Marine, with the aid of the European Maritime Fisheries Fund, invested in infrastructure over the period 2013-2015, including chiller rooms, ice making equipment and insulated fish boxes.",NA,5.2.2,Number of non-monetary beneficiaries,1,0,,,Historic,70,
621,30,Lyme Bay,,,2014,,"In 2014, Blue Marine created the Reserve Seafood brand to help market the low-impact, sustainable, premium quality, provenanced seafood caught within the Lyme Bay Reserve.",NA,3.2.2,Number of initiatives,1,0,,,Historic,70,
622,30,Lyme Bay,,,2018,,"In July 2018, the 4Ports Transport scheme was set up, with support from Blue Marine, to collect fish from the four ports operating within the Lyme Bay Reserve and transport them to Brixham and Plymouth fish markets, and other distributors.",NA,5.2.2,Number of non-monetary beneficiaries,1,0,,,Historic,70,
633,20,Maldives,,,?,1,"As well as continuing our education and outreach work, funding will allow continuation of critical grouper surveys to understand their spawning aggregations and allow the team to work with Hithadhoo Council to develop management of a Locally Managed Marine Area at Hithadhoo Corner through creation of a Marine Management Plan including no-take zone to protect key biodiversity.",NA,1.1.1,"Reports, investigations, published papers or similar",1,1,,,Historic,62,
634,20,Maldives,,,2022,1,"Laamu fisher meeting report compiled. 
",NA,1.1.1,"Reports, investigations, published papers or similar",1,1,,,Historic,1,
625,30,Lyme Bay,,,2012,4,"The first Voluntary Code of Conduct for commercial fishermen was agreed by the Lyme Bay Reserve Committee in 2012, The Code has since been adapted to reflect research and knowledge on the sustainable levels of fishing and practices that are compatible with the Reserve, with the addition of: • A limit of 250 crab or lobster pots per vessel with no more than 10 pots in each string • A limit of 500 whelk pots per vessel with nomore than 30 in each string A limit of 4,000 yards total net length with a mesh size of less than 7.5 inches • A limit of 8,000 yards total net length with  mesh size greater than 7.5 inches",NA,3.2.1,Number of fisheries ,1,0,,,Historic,70,
1788,94,Convex,O.4.9,?,2023,1,Rewilding Argentina?,4.3.1,5.6.2,Number of coalitions/‌ working groups,1,0,,,Logframe,,
627,30,Lyme Bay,,,2022,47,"In 2022, Blue Marine supported the establishment of a new Lyme Bay Fisherman’s Community Interest Company (CIC) that represents fishermen across the Lyme Bay area and engages with regulators and others to promote sustainable fishing. The CIC is overseen by a representative from each of the four ports and has 47 members from across the Lyme Bay fishing community",NA,5.2.2,Number of non-monetary beneficiaries,1,0,,,Historic,70,
635,20,Maldives,,,2022,1,"Coral reef monitoring, ",NA,Progress,-,1,1,,,Historic,1,
637,20,Maldives,,,2022,2,fish biomass being removed from Laamu's reefs and gleaning on two islands of Laamu Atoll reports compiled. ,NA,1.1.1,"Reports, investigations, published papers or similar",1,1,,,Historic,1,
696,95,Education,,,,4,"Thanks to close collaboration with the SZN, four international academic courses took place in 2021 and 2022 on the islands of Panarea and Salina. Thirty four students from different universities were hosted and given the chance to improve their scientific research and diving skills through practical field experience and understanding of marine seagrass ecology and its resilience to climate change, enhancing their conservation career opportunities.",NA,5.5.3,Number of packages/‌initiatives,1,0,,Aeolians,Historic,78,
639,20,Maldives,,May,2018,1,"In May 2018, BLUE submitted a summary of the results and recommendations from our ‘Grouper Fishery and Conservation Project’ to the Maldivian government.",NA,1.1.1,"Reports, investigations, published papers or similar",1,1,,,Historic,16,
632,30,Lyme Bay,,,2014,1,"In 2014, Blue Marine created the Reserve Seafood brand, to help market the low-impact sustainable, premium quality, provenanced seafood caught within the Lyme Bay Reserve.",NA,3.2.2,Number of initiatives,1,0,,,Historic,79,
643,20,Maldives,,,2021,1,Research by BLUE and its partners in the Maldives Underwater Initiative was used to justify the Hope Spot and the MPA site selection,NA,1.1.2,Number of changes,1,1,,,Historic,5,
646,20,Maldives,,Dec,2021,26.7,"Six new marine protected areas were designated on Laamu Atoll in the Maldives, driven by Blue Marine’s research, advocacy and community education and outreach efforts as part of the #EkuEkyLaamu campaign.",NA,1.2.2,designated km2,1,1,,,Historic,19,
647,20,Maldives,,,2022,3,"Signed MoU to support designation of a marine conservation area on Laamu - protecting Grouper and Natpoleon wrasse and a manta ray cleaning station in addition to coral reefs, seagrasses and providing a refuge to other endangered species. ",NA,1.4.1,Number of species and/or habitats ,1,1,,,Historic,62,
636,20,Maldives,,,2022,1,"fish biomass on the reef, ",NA,1.1.1,"Reports, investigations, published papers or similar",1,0,,,Historic,1,
649,20,Maldives,,,2019,1,"¼of all resorts in the Maldives pledged to protect more than 830,000m2 of seagrass",NA,1.4.1,Number of species and/or habitats ,1,1,,,Historic,17,
638,20,Maldives,,,2022,1,Napoleon wrasse publication.,NA,1.1.1,"Reports, investigations, published papers or similar",1,0,,,Historic,1,
650,20,Maldives,,,2021,2,BLUE launched #FishForTomorrow in the Maldives to familiarise people with vulnerable reef fish. The campaign secured public support for the protection of giant grouper and all species of parrotfish. Maldives,NA,1.4.1,Number of species and/or habitats ,0,1,,,Historic,18,
640,20,Maldives,,,2022,1,The status of napoleon wrasse in Laamu Atoll was assessed after three decades of protection using citizen science. ,NA,1.1.1,"Reports, investigations, published papers or similar",1,0,https://www.int-res.com/articles/esr2022/49/n049p135.pdf ,,Historic,66,
641,20,Maldives,,,2022,1,"Status of Napoleon wrasse in Laamu Atoll, Maldives, after three decades of protection",NA,1.1.1,"Reports, investigations, published papers or similar",1,0,https://www.int-res.com/articles/esr2022/49/n049p135.pdf,,Historic,61,
642,20,Maldives,,,2022,1,MoU signed with Laamu Hithadhoo Council to establish a Community Conservation Area,NA,1.1.2,Number of changes,1,0,,,Historic,1,
651,20,Maldives,,,2021,23,"23 species of Parrotfish legally protected from fishing in September 2020, just two months after BLUE's sucessful #FishForTomorow campagin ended.",NA,1.4.1,Number of species and/or habitats ,1,1,,,Historic,18,
644,20,Maldives,,,2022,,Blue Marine and MRR have also signed a memorandum of understanding with the Laamu Hithadhoo Island Council to support the establishment of a Locally Managed Marine Area (LMMA) that will protect a critical grouper spawning and manta ray cleaning station.,NA,1.2.1,proposed km2,1,0,how big is this area,,Historic,4,
645,20,Maldives,,,?,26.7,"helped achieve the designation of six new MPAs on Laamu Atoll covering an area of ~25km2, ",NA,1.2.2,designated km2,1,0,,,Historic,62,
652,20,Maldives,,,2022,1,An evaluation was conducted of our sustainable-resort reef fishery programme at Six Senses Laamu,NA,Progress,-,1,1,,,Historic,4,
653,20,Maldives,,,2022,1,"An assessment of the Laamaseelu Masveriyaa programme between 2020 and 2022, with directions for adaptive management. ",NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1,Not released publicly (shared with Six Senses Laamu). ,,Historic,66,
648,20,Maldives,,,2022,1,Laamu Hithadhoo Council has announced their intention to establish a community conservation area to protect a critical grouper spawning aggregation.,NA,1.4.1,Number of species and/or habitats ,1,0,,,Historic,1,
656,20,Maldives,,,2021,1,New minimum landing size limits to prevent the catch of juveniles for the most highly valued grouper species were based on evidence collected by BLUE.,NA,3.1.2,Number of policy instruments/regulations or similar influenced (please specify),1,1,,,Historic,5,
657,20,Maldives,,,2019,1,"Fifteen reef fishermen who sell their catch to Six Senses Laamu signed up to a responsible fishing ‘code of conduct’, agreeing to target semi-pelagic and pelagic species and use selective gears to reduce their impact on Laamu’s reefs.",NA,3.2.1,Number of fisheries ,1,1,,,Historic,17,
659,20,Maldives,,Apr,2021,1,"The campaign, supported by TV personality Steve Backshall, reached 60 per cent of the country’s population and delivered success in six weeks when the Maldivian Government upheld the ban and committed to tackling illegal shark fishing in the country",NA,4.1.2,Number of policy instruments/regulations or similar influenced,1,1,,,Historic,19,
662,20,Maldives,,,?,1,new legal minimum landing size limits for groupers.  ,NA,4.2.2,Number of species,1,1,,,Historic,62,
664,20,Maldives,,,2022,6,6 fisheries officer recruited for one month.,NA,5.2.1,Number of monetary beneficiaries,1,1,,,Historic,1,
654,20,Maldives,,,2022,1,Assessment of marine resource use around Laamu Atoll which surveys a range of key user groups. ,NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,"Not released publicly (shared with Ministry of Fisheries, Marine Resources and Agriculture and Ministry of Environment, Climate Change and Technology. Also circulated with 11 Laamu island councils and Laamu Atoll council.) ",,Historic,66,
655,20,Maldives,,,2023,1,"Assessment of Laamaseelu Masveriyaa programme at Six Senses Laamu 2022 report, completed in March 2023",NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,Shared with Six Senses Laamu (Laamaseelu Masveriyaa programme partner resort),,Historic,98,
665,20,Maldives,,,2022,26,26 Laamaseelu Masveriyaa programme fishers.,NA,5.2.1,Number of monetary beneficiaries,1,1,,,Historic,1,
666,20,Maldives,,,2017,5,"We developed five internships for Environmental Management undergraduates from the Maldives National University, giving them practical experience in the field and an insight into their prospects as future marine scientists.",NA,5.2.1,Number of monetary beneficiaries,1,1,,,Historic,9,
658,20,Maldives,,,2021,1,"n March 2021, BLUE supported MRR to run a campaign #SaveOurSharks which prevented the reversal of the Maldives’ 10-year-long shark fishing moratorium",NA,4.1.2,Number of policy instruments/regulations or similar influenced,0,0,,,Historic,5,
668,20,Maldives,,,2022,4,4 MSc student's field work funded (University of Exeter).,NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,1,
660,20,Maldives,,,?,1,Led a campaign which contributed to stopping the lifting of the ten-year shark fishing moratorium ,NA,4.2.2,Number of species,1,0,,,Historic,62,
661,20,Maldives,,,?,1, secured a national fishing ban for all species of parrotfish,NA,4.2.2,Number of species,1,0,,,Historic,62,
669,20,Maldives,,,2022,1,1 PhD student's field work funded (University of Northumbria).,NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,1,
663,20,Maldives,,,?,1," Two months after #FishForTomorrow campaign, all parrotfish were protected as a no-take species throughout the islands.",NA,3.1.2,Number of policy instruments/regulations or similar influenced (please specify),1,0,what year,,Historic,4,
670,20,Maldives,,,2021,250,"In 2021, we trained seven new fisheries officers and conducted education sessions for over 250 people in the atoll.",NA,5.5.1,Number of students/general public,1,1,,,Historic,5,
672,20,Maldives,,,2020,1,"BLUE is also supporting Shaha Hashim, to do a Master's degree at the University of Exeter, to",NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,6,
673,20,Maldives,,,2018,200,"Under a partnership with Ministry of Education’s Farukoe (reef child) programme, we took 200 students snorkellinga first for many",NA,5.5.1,Number of students/general public,1,1,,,Historic,8,
667,20,Maldives,,,2019,15,"In exchange, Six Senses Laamu has agreed to reward fishermen through a benefits scheme providing an economic incentive to fishsustainably.",NA,5.2.1,Number of monetary beneficiaries,1,0,,,Historic,17,
676,20,Maldives,,,2018,2400,"In 2018, BLUE donated marine species identification books to all the schools in the Atoll, providing easy access to information to 2,400 students.",NA,5.3.1,Number of stakeholders,1,1,,,Historic,8,
677,20,Maldives,,,2017,300,"By inviting over 300 community members to come and hear about the project, we broke down communication barriers and made the people of Laamu feel valued and involved in our effort",NA,5.3.1,Number of stakeholders,1,1,,,Historic,9,
678,20,Maldives,,,2022,,"Developing online education hub, includes topics ranging from the Maldives marine environment, interconnected ecosystems, reef fish biology, sustainable fisheries to fisheries management. The content will be engaging and accessible to the local community using a mix of animations, infographics and quizzes.",NA,5.3.2,Tools/‌activities,1,1,,,Historic,62,
671,20,Maldives,,,2020,6,"In November, BLUE together with six interns from the Maldives National University visited all eleven islands of Laamu Atoll to conduct resource use surveys",NA,5.2.2,Number of non-monetary beneficiaries,1,0,,,Historic,6,
680,20,Maldives,,,2022,4,4 school snorkeling camps conducted.,NA,5.3.2,Tools/‌activities,1,1,,,Historic,1,
681,20,Maldives,,,2022,2,2 council education sessions.,NA,5.3.2,Tools/‌activities,1,1,,,Historic,1,
674,20,Maldives,,Sept,2020,1,"n September 2020, MRR’s project manager Shaha Hashim successfully enrolled in the Masters by Research programme at the University of Exeter to establish historical baselines for conservation goals.",NA,5.2.2,Number of non-monetary beneficiaries,1,0,,,Historic,18,
675,20,Maldives,,,2022,1,"Blue Marine has supported its Maldives Project Manager, Shaha Hashim, to complete a Masters’ Degree at the University of Exeter. While working for Blue Marine, Shaha has become a recognised leader in conservation in the Maldives and is the founder of Maldives Resilient Reefs, which Blue Marine is helping to become the leading marine conservation NGO in the country",NA,5.2.2,Number of non-monetary beneficiaries,1,0,,,Historic,66,
682,20,Maldives,,,2022,8,8 scientific presentations delivered by MRR at the Maldives Marine Science Symposium 2022,NA,5.3.2,Tools/‌activities,1,1,,,Historic,1,
1795,94,Blue Climate,O.5.4,Jun,2023,12,Workshop held in June 2023 (12 attendees),4.2.1,5.3.1,Number of stakeholders,1,0,,,Logframe,,
683,20,Maldives,,,2022,4,4 animated videos developed.,NA,5.3.2,Tools/‌activities,1,1,,,Historic,1,
679,20,Maldives,,,2022,1,MRR's online education hub 'MasmahaaVeshi' developed.,NA,5.3.2,Tools/‌activities,1,0,,,Historic,1,
684,20,Maldives,,,2022,8,8 infographics developed.,NA,5.3.2,Tools/‌activities,1,1,,,Historic,1,
686,20,Maldives,,,2019,1,"Though there are more than 50 protected areas in the Maldives, only four have management plans. BLUE and Six Senses Laamu facilitated a visit to one of these sites for the local government on Laamu to show them how protected areas benefit communities",NA,5.3.2,Tools/‌activities,1,1,,,Historic,7,
687,20,Maldives,,,2017,1,"By inviting over 300 community members to come and hear about the project, we broke down communication barriers and made the people of Laamu feel valued and involved in our effort",NA,5.3.2,Tools/‌activities,1,1,,,Historic,9,
688,20,Maldives,,Apr,2019,1,d in April 2019 BLUE’s Maldivian team helped organise the Llaamu Atoll Reefs festival to draw attention to the plight of the countries’ coral reefs.,NA,5.3.2,Tools/‌activities,1,1,,,Historic,17,
689,20,Maldives,,,2021,1,BLUE launched #FishForTomorrow in the Maldives to familiarise people with vulnerable reef fish. The campaign secured public support for the protection of giant grouper and all species of parrotfish. Maldives,NA,5.3.2,Tools/‌activities,1,1,,,Historic,18,
685,20,Maldives,,,2020,1,Blue Marine’s #FishForTomorrow campaign brought awareness about vulnerable marine species in the area.,NA,5.3.2,Tools/‌activities,1,0,what year,,Historic,4,
691,20,Maldives,,Dec,2021,1,"Six new marine protected areas were designated on Laamu Atoll in the Maldives, driven by Blue Marine’s research, advocacy and community education and outreach efforts as part of the #EkuEkyLaamu campaign.",NA,5.3.2,Tools/‌activities,1,1,,,Historic,19,
692,20,Maldives,,,2019,25,"In 2019, the social media campaign #ProtectMaldivesSeagrass by Blue Marine and Six Senses Laamu managed to change the perception of seagrass in the Maldives tourism industry, and saw more than 25% of resorts committing to protect this valuable habitat.",NA,5.3.3,Percentage,1,1,,,Historic,4,
695,95,Education,,,,34,"Thanks to close collaboration with the SZN, four international academic courses took place in 2021 and 2022 on the islands of Panarea and Salina. Thirty four students from different universities were hosted and given the chance to improve their scientific research and diving skills through practical field experience and understanding of marine seagrass ecology and its resilience to climate change, enhancing their conservation career opportunities.",NA,5.5.1,Number of students/general public,1,1,,Aeolians,Historic,78,
697,61,Aeolians,,,2022,36,"Thanks to close collaboration with the SZN, four international academic courses took place in 2021 and 2022 on the islands of Panarea and Salina. Thirty-six students from different universities were hosted and given the chance to improve their scientific research and diving skills through practical field experience and understanding of marine seagrass ecology and its resilience to climate change, enhancing their conservation career opportunities.",NA,5.5.1,Number of students/general public,1,1,,,Historic,73,
690,20,Maldives,,Apr,2021,1,#SaveOurSharks launched to prevent the reversal of the Maldives’ shark fishing moratorium.,NA,5.3.2,Tools/‌activities,1,0,,,Historic,19,
700,95,Education,,,,5000,"The educational Makerzine has since been distributed to over 5,000 children around the world,",NA,5.5.1,Number of students/general public,1,1,,,Historic,78,
701,68,Balearics,,,2022,,"The project also aims to educate young people about the ocean through ‘Dive Camps’ and classroom workshops, providing participants with valuable hands-on experience.",Progress,5.5.1,Number of students/general public,1,1,how many kids,,Historic,4,
693,20,Maldives,,,2019,25,A quarter of all luxury Maldives resorts signed up to the #ProtectMaldivesSeagrass campaign run by BLUE and the Maldives Underwater Initiative.,NA,5.3.3,Percentage,1,0,,,Historic,7,
694,20,Maldives,,,2019,25,"MORE THAN ¼ OF ALL RESORTS IN THE COUNTRY COMMITTED TO PROTECTING 830,000m2 OF SEAGRASS",NA,5.3.3,Percentage,1,0,,,Historic,7,
702,20,Maldives,,,2019,15,"Fifteen reef fishermen who sell their catch to Six Senses Laamu signed up to a responsible fishing ‘code of conduct’, agreeing to target semi-pelagic and pelagic species and use selective gears to reduce their impact on Laamu’s reefs.",NA,5.6.1,Number of stakeholders,1,1,,,Historic,17,
945,95,Education,,,,1,"To help address the growing disconnect between young Italians and the older fishing community, fishermen who are signed up to Blue Marine’s Responsible Fishing Group were paid to take groups of local high school students out on their fishing boats to teach them about methods of sustainable fishing, the history and importance of small-scale fishing for communities, and the general life of an Aeolian fisherman.",NA,5.5.3,Number of packages/‌initiatives,1,0,,,Historic,78,
703,20,Maldives,,,2021,1,"The whole atoll was declared a Mission Blue Hope Spot, and the Maldivian Government has designated six new protected areas on the atoll encompassing coral reefs, mangroves and seagrass meadows.",NA,Hope Spot,Hope spots,1,1,,,Historic,5,
698,20,Maldives,,,2021,7,"In 2021, we trained seven new fisheries officers and conducted education sessions for over 250 people in the atoll.",NA,5.2.2,Number of non-monetary beneficiaries,1,0,,,Historic,5,
705,20,Maldives,,,2019,1,FIRST SUSTAINABLE RESORT REEF FISHING MODEL DEVELOPED ON LAAMU ATOLL,NA,Progress,-,1,1,,,Historic,7,
2119,62,Italy,O.8.1,Dec,2023,58,"Taste the Aeolians: 58 students (already counted, do not double count).",Students,5.5.1,Number of students/general public,1,0,,,Logframe,,
2120,62,Italy,O.8.1,Dec,2023,24,Wings of the sea: 24 new students.,Students,5.5.1,Number of students/general public,1,0,,,Logframe,,
708,20,Maldives,,August,2016,1,"aha and Vivienne’s work includes interviewing fishermen, diving surveys to identify and map grouper spawning aggregation sites",NA,Progress,-,1,1,,,Historic,10,
709,20,Maldives,,Nov,2019,1,"In November 2019, BLUE successfully developed the first ever sustainable resort reef fishery model in the Maldives",NA,Progress,-,1,1,,,Historic,17,
704,20,Maldives,,Oct,2021,1,"In October 2021, our hard work was rewarded when Laamu atoll was declared a Mission Blue Hope Spot",NA,Hope Spot,Hope spots,1,0,,,Historic,19,
711,20,Maldives,,,2022,1,"Blue Marine has supported its Maldives Project Manager, Shaha Hashim, to complete a Masters’ Degree at the University of Exeter. While working for Blue Marine, Shaha has become a recognised leader in conservation in the Maldives and is the founder of Maldives Resilient Reefs, which Blue Marine is helping to become the leading marine conservation NGO in the country",NA,Progress,-,1,1,,,Historic,66,
706,20,Maldives,,,2019,25,"¼ of all resorts in the Maldives pledged to protect more than 830,000m2 of seagrass",NA,Progress,-,1,0,,,Historic,16,
707,20,Maldives,,,2022,1,Surveying grouper spwaning aggregation ste to monitor changes through time since 2016/2017 suveys,NA,Progress,-,1,0,,,Historic,62,
714,20,Maldives,,,2016,2,"In partnership with the Ministry of Fisheries, Marine Resources and Agriculture (MoFMRA), and the Laamu Atoll Council, Blue Marine interviewed 117 grouper fishers on Laamu Atoll.",NA,Progress,-,1,1,,,Historic,,
716,20,Maldives,,,2019,?,"In 2019, Blue Marine started a programme on Laamu Atoll to train its local residents to conduct basic health assessments of their important coastal habitats- seagrasses, mangroves, and coral reefs. The programme is called “Laamaseelu Farudhun” meaning exemplary citizens in the local language, Dhivehi",NA,Progress,-,1,1,,,Historic,75,
710,20,Maldives,,,2020,1,"In 2020, we set up the local NGO Maldives Resilient Reefs (MRR), which is led by Maldivians",NA,Progress,-,1,0,,,Historic,4,
717,20,Maldives,,Feb,2019,21,"In February 2019, Blue Marine invited two of the world’s leading seagrass experts to Laamu Atoll to help train individuals how to monitor their local seagrass meadows. 21 people from the community, local nongovernmental organisations, higher education schools and local governments participated in the training and participants were from seven of the eleven inhabited islands on the atoll.",NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,75,
712,20,Maldives,,,?,,The much-needed funding from L2M will support the core staff of MRR for the next year to improve our sustainable fishers ’Laamaseelu Masveriya’ programme and see it rolled out to additional resorts. ,NA,,#N/A,,0,,,Historic,62,
713,20,Maldives,,,2020,1,Parrotfish are added to the list of protected species in the Maldives just months after BLUE’s #FishforTomorrow campaign,NA,,#N/A,,0,,,Historic,6,
721,20,Maldives,,Nov,2022,1,Report released: https://www.int-res.com/articles/esr2022/49/n049p135.pdf (Status of Napoleon Wrasse),NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,1,,,Historic,75,
715,20,Maldives,,,2018,1,"In 2018, Blue Marine wrote a management recommendation report to the MoFMA recommending sites for protection and broader recommendations for improved management of the fishery including recommendations by fishers.",NA,1.1.1,"Reports, investigations, published papers or similar",1,0,,,Historic,75,
722,20,Maldives,,,2020,6,Blue Marine recruited and trained six interns from the MNU currently doing their BSc in Environmental Management. Blue Marine covered their field costs and team members travelled with them around the eleven inhabited islands on Laamu Atoll to collect resource use data.,NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,75,
723,20,Maldives,,,2021,1,"In 2021, the Laamu Atoll Tourism Coalition (LATC) was set up by Blue Marine to stem the risk of poorly regulated tourism impacting the Atoll’s marine environment as tourism begins to expand.",NA,5.6.2,Number of coalitions/‌ working groups,1,1,,,Historic,75,
718,20,Maldives,,,2019,1,"In 2019, a master’s student from the UK analysed the data and produced a report. Findings have helped identify hotspots on the atoll for more than 30 species, many of which are listed as globally Threatened, Endangered and Critically Endangered on the International Union for Conservation of Nature Red List",NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,,,Historic,75,
719,20,Maldives,,,2019,1,"In 2019, a master’s student from the UK analysed the data and produced a report. Findings have helped identify hotspots on the atoll for more than 30 species, many of which are listed as globally Threatened, Endangered and Critically Endangered on the International Union for Conservation of Nature Red List",NA,5.2.2,Number of non-monetary beneficiaries,1,0,,,Historic,75,
720,20,Maldives,,,?,1,"Data were included in a briefing document sent to Ministry of Climate Change, Energy and Environment as evidence to justify the sites being put forward for protection.",NA,3.1.1,"Reports, ‌investigations, published papers or similar (please specify).",1,0,,,Historic,75,
